seed,tolerance_threshold,final_mean_opinion,final_std_opinion,final_mean_abs_opinion,final_opinion_variance,final_extremist_ratio,final_moderate_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
57,0.3,-0.014529322949323782,0.5384225261946688,0.4020624445288698,0.28960891789713494,0.303,0.608,0.4987915407854985,0.5012084592145015,-0.001680272920973308,3310
58,0.3,0.012911578559082329,0.5475317604585265,0.41524756598715046,0.29949123768210245,0.307,0.604,0.5306625577812019,0.46933744221879814,0.029957501991913937,3245
59,0.3,0.028589649032318924,0.5524892937002873,0.42052504265485113,0.30493917523378894,0.314,0.601,0.5174288455388552,0.48257115446114485,0.016679676595568738,3127
60,0.3,0.023602929712155992,0.5824437007823442,0.4475104241284471,0.3389014239164519,0.341,0.558,0.5105740181268882,0.4894259818731118,0.01017527108509153,2979
61,0.3,0.021717175127606247,0.5729632857758826,0.4401064477591797,0.32795863992024865,0.338,0.577,0.5120274914089347,0.48797250859106533,0.005821299888260412,3201
42,0.5,0.00012377442328439692,0.4937975116859193,0.4034205731448942,0.24359214656465838,0.194,0.421,0.49278178789561355,0.5072182121043864,-0.008575052825187113,3602
43,0.5,-0.011610236743476582,0.5232021459250638,0.4316718072384331,0.27346674501509116,0.224,0.372,0.5053337397135019,0.49466626028649807,0.004513500255326125,3281
44,0.5,0.001987414250906765,0.5304739104146438,0.43000462430967007,0.2811211670609729,0.242,0.41,0.506201044386423,0.493798955613577,0.00476884570856459,3064
45,0.5,0.03470198763299815,0.5243770635824718,0.43165169508684875,0.2746963335065643,0.229,0.383,0.522883637451391,0.477116362548609,0.012075301034541241,3343
46,0.5,0.016858806977075,0.5211218470741698,0.42181015402950506,0.27129641151849637,0.231,0.406,0.5248551387618177,0.47514486123818234,0.02407700039847102,3279
47,0.5,-0.009927377681006749,0.5079965876307991,0.4161559835380865,0.25780247251149163,0.208,0.387,0.5062663946371321,0.4937336053628679,0.004567558751800288,3431
48,0.5,0.011075459757454331,0.5106097891044624,0.4159231699958084,0.2604616343725743,0.217,0.404,0.5039647577092511,0.4960352422907489,0.003218604975901651,3405
49,0.5,0.016312075820718912,0.527125629102962,0.43014701187660115,0.2775835674283363,0.227,0.396,0.5038759689922481,0.49612403100775193,0.0021097505612527323,3225
50,0.5,0.008039263433396334,0.5340743092350787,0.4350501382925975,0.2849501324171415,0.241,0.396,0.5269672855879752,0.47303271441202477,0.02226470251565127,3393
51,0.5,-0.0019375551476228444,0.5018862856197921,0.40916161199495493,0.25163795384953824,0.205,0.4,0.5233322893830253,0.47666771061697466,0.023754848375595328,3193
52,0.5,0.011280290069766406,0.5229343913215548,0.4260899339139762,0.2731869172492181,0.233,0.389,0.5204437400950872,0.4795562599049128,0.017957244397592637,3155
