node,F_t,L,o_t,tau_t,tau_t1,s_t,Abar,A_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
75,3,0,-1.0,10.0,10.0,-1,0.3625178703772126,0.7990195150384123,1,1,0.0,1.0,4.0,6.5,0.17316646253166218,0.0,1.0,4.0,6.5,-1.0,-1,3,0.7990195150384123
76,1,0,0.2923783728552694,10.0,10.0,-1,0.532317488783745,0.8169618553287491,0,0,0.0,0.0,5.0,5.5,0.1483448480850741,0.0,0.0,5.0,5.5,0.2923783728552694,-1,1,0.8169618553287491
77,5,0,-0.633105547506621,10.0,10.0,-1,0.4956247083003429,0.8475907492247692,1,1,0.0,1.0,3.5,2.5,0.1952755199949453,0.0,1.0,3.5,2.5,-0.633105547506621,-1,5,0.8475907492247692
78,2,0,0.9003406840479186,10.0,10.0,1,0.6775849139396168,1.0,0,0,0.0,0.0,5.0,6.5,0.21834332030706596,0.0,0.0,5.0,6.5,0.9003406840479186,1,2,1.0
79,2,0,-1.0,10.0,10.0,-1,0.773590561604121,1.0,0,0,0.0,0.0,3.5,5.5,0.21834332030706596,0.0,0.0,3.5,5.5,-1.0,-1,2,1.0
80,5,0,-1.0,10.0,10.0,-1,0.27840230538719357,0.6554306010976716,0,0,0.0,2.0,3.0,7.5,0.15521005045476272,0.0,2.0,3.0,7.5,-1.0,-1,5,0.6554306010976716
81,4,0,-0.9993159002071718,10.0,10.0,-1,0.7303480873447898,1.0,0,0,0.0,1.0,3.0,6.5,0.24092031521132712,0.0,1.0,3.0,6.5,-0.9993159002071718,-1,4,1.0
82,7,0,-1.0,10.0,10.0,-1,0.6228781629709413,1.0,0,0,0.0,1.0,6.5,5.5,0.2630570378634295,0.0,1.0,6.5,5.5,-1.0,-1,7,1.0
83,10,0,-0.555078893594274,10.0,10.0,-1,0.615532127178743,0.942814504722967,0,0,0.0,0.0,9.0,2.5,0.2554415667044776,0.0,0.0,9.0,2.5,-0.555078893594274,-1,10,0.942814504722967
84,7,0,-1.0,10.0,10.0,-1,0.4245805382854834,0.6934785848406916,0,0,0.0,1.0,4.5,2.0,0.18454491983798058,0.0,1.0,4.5,2.0,-1.0,-1,7,0.6934785848406916
85,3,0,-0.6789073259160996,10.0,10.0,-1,0.40634491727895267,0.8739912339272287,1,1,0.0,0.0,6.0,6.5,0.18149805188607726,0.0,0.0,6.0,6.5,-0.6789073259160996,-1,3,0.8739912339272287
86,2,0,0.5571674020630467,9.837840820912056,9.837840820912056,1,0.2033836908935102,0.40273429358926116,0,0,0.0,2.0,2.5,1.5,0.09430413069977414,0.0,2.0,2.5,1.5,0.5571674020630467,1,2,0.40273429358926116
87,12,0,-1.0,10.0,10.0,-1,0.7893229247823847,1.0,0,0,0.0,1.0,2.0,6.5,0.28725310187007,0.0,1.0,2.0,6.5,-1.0,-1,12,1.0
88,10,0,-1.0,10.0,10.0,-1,0.5639034994238293,0.8634448476483662,0,0,0.0,0.0,8.0,2.5,0.23190888360178352,0.0,0.0,8.0,2.5,-1.0,-1,10,0.8634448476483662
89,1,0,-0.9163625624820353,10.0,10.0,-1,0.4413971743543553,0.7390754737803121,0,0,0.0,0.0,4.0,5.5,0.14645926366383058,0.0,0.0,4.0,5.5,-0.9163625624820353,-1,1,0.7390754737803121
90,2,0,0.04317641129448338,10.0,10.0,-1,0.5262612931353072,0.7600142968344447,0,0,0.0,0.0,2.5,4.5,0.16573125119150475,0.0,0.0,2.5,4.5,0.04317641129448338,-1,2,0.7600142968344447
91,2,0,-1.0,10.0,10.0,-1,0.22431622045775748,0.5738918981360501,0,0,1.0,1.0,5.0,5.5,0.11022085236691066,1.0,1.0,5.0,5.5,-1.0,-1,2,0.5738918981360501
92,5,0,-1.0,10.0,10.0,-1,0.3041905731750013,0.6296848361977776,0,0,0.0,1.0,4.5,4.5,0.15449231319970314,0.0,1.0,4.5,4.5,-1.0,-1,5,0.6296848361977776
93,9,0,-0.6690215942457144,10.0,10.0,1,0.5740159549780416,0.8286820315990665,0,0,0.0,1.0,1.0,4.5,0.24321605070301658,0.0,1.0,1.0,4.5,-0.6690215942457144,1,9,0.8286820315990665
94,4,0,-1.0,10.0,10.0,-1,0.508557037810172,0.8083379776422316,1,0,0.0,0.0,5.0,3.5,0.2119479150460759,0.0,0.0,5.0,3.5,-1.0,-1,4,0.8083379776422316
95,10,0,-1.0,10.0,10.0,-1,0.6722448937565799,0.8814354244764114,0,0,0.0,0.0,3.5,2.5,0.259392586826027,0.0,0.0,3.5,2.5,-1.0,-1,10,0.8814354244764114
96,3,0,-1.0,10.0,10.0,1,0.5952456142672022,0.8602406526008958,0,0,0.0,0.0,4.5,2.5,0.21763421750740186,0.0,0.0,4.5,2.5,-1.0,1,3,0.8602406526008958
97,7,0,-0.1859220833992615,10.0,10.0,-1,0.5608614055876324,0.9032894711667098,1,1,0.0,0.0,4.0,2.5,0.17854501586158833,0.0,0.0,4.0,2.5,-0.1859220833992615,-1,7,0.9032894711667098
98,0,0,-1.0,10.0,10.0,-1,0.6891594225831881,0.9334956535499129,0,0,0.0,0.0,6.0,1.0,0.1750862681640398,0.0,0.0,6.0,1.0,-1.0,-1,0,0.9334956535499129
99,9,0,-1.0,10.0,10.0,-1,0.2409578633311404,0.5804936379780965,0,0,0.0,1.0,4.5,5.5,0.15281143495197153,0.0,1.0,4.5,5.5,-1.0,-1,9,0.5804936379780965
100,3,0,-1.0,10.0,10.0,-1,0.6145320778587713,1.0,1,1,0.0,0.0,7.0,6.5,0.21110894437166106,0.0,0.0,7.0,6.5,-1.0,-1,3,1.0
101,7,0,-1.0,10.0,10.0,-1,0.6293544279734093,0.9672749736786177,0,0,0.0,0.0,1.0,9.5,0.2541387546777855,0.0,0.0,1.0,9.5,-1.0,-1,7,0.9672749736786177
102,11,0,-1.0,10.0,10.0,-1,0.3650981298080066,0.7344340973569556,0,0,0.0,0.0,5.5,7.0,0.1839840473492883,0.0,0.0,5.5,7.0,-1.0,-1,11,0.7344340973569556
103,3,0,-1.0,10.0,10.0,1,0.31738978189243666,0.6265057129572537,0,0,0.0,0.0,6.0,3.0,0.14665223657362159,0.0,0.0,6.0,3.0,-1.0,1,3,0.6265057129572537
104,8,0,-1.0,10.0,10.0,-1,0.32831148527359955,0.6339699416096569,0,0,0.0,0.0,4.0,6.5,0.16188486259889787,0.0,0.0,4.0,6.5,-1.0,-1,8,0.6339699416096569
105,5,0,-0.945884055745901,10.0,10.0,-1,0.31888451805919654,0.6375060723851798,0,0,0.0,1.0,3.5,5.5,0.15390827004054908,0.0,1.0,3.5,5.5,-0.945884055745901,-1,5,0.6375060723851798
106,2,0,-1.0,10.0,10.0,-1,0.5142693145421569,0.8500577756972111,0,0,0.0,0.0,2.5,7.5,0.19021495109753747,0.0,0.0,2.5,7.5,-1.0,-1,2,0.8500577756972111
107,4,0,-0.6428664969121206,10.0,10.0,-1,0.2813757868194971,0.5650229361558308,0,0,0.0,1.0,3.5,3.5,0.14249111011396504,0.0,1.0,3.5,3.5,-0.6428664969121206,-1,4,0.5650229361558308
108,4,0,-1.0,10.0,10.0,-1,0.5955715168516102,0.9043147724784005,1,0,0.0,0.0,7.0,1.5,0.23036220362913323,0.0,0.0,7.0,1.5,-1.0,-1,4,0.9043147724784005
109,2,0,-1.0,9.787295207170274,9.787295207170274,-1,0.26304695536926176,0.5093810879680437,0,0,0.0,2.0,0.0,3.5,0.12527931963597147,0.0,2.0,0.0,3.5,-1.0,-1,2,0.5093810879680437
110,7,0,-0.4108282265356299,10.0,10.0,1,0.21613378418615373,0.6015743014941723,0,0,0.0,1.0,6.0,6.5,0.14348805469081224,0.0,1.0,6.0,6.5,-0.4108282265356299,1,7,0.6015743014941723
111,3,0,-1.0,10.0,10.0,-1,0.39157414546752267,0.6696587746707562,0,0,0.0,1.0,5.0,1.5,0.16977649422132418,0.0,1.0,5.0,1.5,-1.0,-1,3,0.6696587746707562
112,2,0,-0.9198470438000096,10.0,10.0,1,0.31511583423982464,0.6361893309504332,0,0,0.0,0.0,4.0,4.5,0.15534134169084735,0.0,0.0,4.0,4.5,-0.9198470438000096,1,2,0.6361893309504332
113,4,0,-1.0,10.0,10.0,-1,0.7931972332460495,1.0,1,1,0.0,1.0,3.5,4.5,0.21834332030706596,0.0,1.0,3.5,4.5,-1.0,-1,4,1.0
114,4,0,-1.0,10.0,10.0,-1,0.38179778037033046,0.7385427084140692,0,0,0.0,1.0,2.5,8.5,0.16177876153582735,0.0,1.0,2.5,8.5,-1.0,-1,4,0.7385427084140692
115,4,0,-1.0,10.0,10.0,-1,0.3332384516153083,0.6229299866577632,0,0,0.0,2.0,3.5,2.5,0.15786509242584634,0.0,2.0,3.5,2.5,-1.0,-1,4,0.6229299866577632
116,5,0,-0.214969065439126,10.0,10.0,1,0.3180618940995288,0.6356450194740487,1,0,0.0,0.0,4.0,4.0,0.17793156158401124,0.0,0.0,4.0,4.0,-0.214969065439126,1,5,0.6356450194740487
117,93,1,-1.0,10.0,10.0,-1,0.4243117428820942,0.7496293361417431,0,0,0.0,1.0,3.5,5.5,0.4,0.0,1.0,3.5,5.5,-1.0,-1,93,0.7496293361417431
118,6,0,-1.0,10.0,10.0,-1,0.5635093371989468,0.9581056023193681,0,0,0.0,1.0,5.5,5.5,0.256636883147566,0.0,1.0,5.5,5.5,-1.0,-1,6,0.9581056023193681
119,3,0,-1.0,10.0,10.0,-1,0.6691671650277695,1.0,0,0,0.0,1.0,7.0,4.5,0.23086623816251947,0.0,1.0,7.0,4.5,-1.0,-1,3,1.0
120,2,0,-1.0,10.0,10.0,-1,0.4187457486458411,0.8009340851832838,0,0,0.0,0.0,4.5,8.5,0.15686294456282734,0.0,0.0,4.5,8.5,-1.0,-1,2,0.8009340851832838
121,8,0,-1.0,10.0,10.0,-1,0.5755825880256737,0.8405271703541216,0,0,0.0,0.0,4.5,2.0,0.2474247350116663,0.0,0.0,4.5,2.0,-1.0,-1,8,0.8405271703541216
122,5,0,-0.9594532169180554,10.0,10.0,-1,0.4892359389676325,0.7847933156570684,0,0,0.0,0.0,5.5,3.5,0.19600903956977825,0.0,0.0,5.5,3.5,-0.9594532169180554,-1,5,0.7847933156570684
123,9,0,-0.9239017669683653,10.0,10.0,-1,0.7078972077520391,0.9847383246512235,0,0,0.0,0.0,6.0,3.5,0.27401356318254483,0.0,0.0,6.0,3.5,-0.9239017669683653,-1,9,0.9847383246512235
124,5,0,-0.4544400432592496,10.0,10.0,1,0.5414250662950612,0.8363738620521772,0,0,0.0,2.0,6.0,1.0,0.21078078983694756,0.0,2.0,6.0,1.0,-0.4544400432592496,1,5,0.8363738620521772
125,3,0,-0.2317532661557621,10.0,10.0,-1,0.3739350031274601,0.658206084620006,0,0,0.0,0.0,4.5,3.5,0.15694675132983574,0.0,0.0,4.5,3.5,-0.2317532661557621,-1,3,0.658206084620006
126,11,0,-0.6194983275740515,10.0,10.0,1,0.6221523543069536,0.9332914125841721,0,0,0.0,0.0,5.0,4.5,0.28317364397726,0.0,0.0,5.0,4.5,-0.6194983275740515,1,11,0.9332914125841721
127,10,0,-1.0,10.0,10.0,-1,0.6920386928137976,0.9687225022777645,0,0,0.0,1.0,4.5,3.5,0.27293555927188645,0.0,1.0,4.5,3.5,-1.0,-1,10,0.9687225022777645
